+--------+---------------------+-----------------+
| idlogs | data_hora           | dados_recebidos |
|    124 | 2023-10-24 10:41:52 |               6 |
|    125 | 2023-10-24 13:00:49 |               2 |
|    126 | 2023-10-24 13:00:55 |               2 |
|    127 | 2023-10-24 13:10:57 |           11112 |
|    128 | 2023-10-24 13:40:43 |               6 |
|    129 | 2023-10-24 15:20:06 |           11112 |
|    130 | 2023-10-24 15:26:35 |               2 |
|    131 | 2023-10-24 15:50:12 |               2 |
|    132 | 2023-10-24 16:14:57 |               6 |
|    133 | 2023-10-24 16:15:58 |               2 |
|    134 | 2023-10-24 16:38:07 |               6 |
|    135 | 2023-10-24 16:54:00 |               6 |
|    136 | 2023-10-24 19:22:42 |               2 |
|    137 | 2023-10-24 19:56:48 |               6 |
|    138 | 2023-10-24 19:57:15 |         1111112 |
|    139 | 2023-10-24 20:33:30 |               2 |
|    140 | 2023-10-24 20:39:00 |               2 |
|    141 | 2023-10-25 07:34:48 |             312 |
|    142 | 2023-10-25 07:48:34 |               6 |
|    143 | 2023-10-25 08:06:23 |           11112 |
|    144 | 2023-10-25 08:34:35 |               6 |
|    145 | 2023-10-25 08:35:18 |               2 |
|    146 | 2023-10-25 09:19:46 |             311 |
|    147 | 2023-10-25 10:07:20 |         1111112 |
|    148 | 2023-10-25 10:19:56 |           11112 |
|    149 | 2023-10-25 10:43:15 |             112 |
|    150 | 2023-10-25 11:10:12 |           11112 |
|    151 | 2023-10-25 11:31:52 |             317 |
|    152 | 2023-10-25 12:22:07 |           11112 |
|    153 | 2023-10-25 13:10:44 |               2 |
|    154 | 2023-10-25 13:38:43 |             312 |
|    155 | 2023-10-25 13:40:09 |               6 |
|    156 | 2023-10-25 13:48:34 |               6 |
|    157 | 2023-10-25 15:33:44 |               6 |
|    158 | 2023-10-25 16:53:56 |               6 |
|    159 | 2023-10-25 16:54:17 |               2 |
|    160 | 2023-10-25 16:54:57 |               2 |
|    161 | 2023-10-25 18:05:55 |               6 |
|    162 | 2023-10-25 18:06:48 |               6 |
|    163 | 2023-10-25 18:08:48 |         1111112 |
