idlogs,data,hora,dados_recebidos
+--------+---------------------+-----------------+
idlogs,data_hora,dados_recebidos
+--------+---------------------+-----------------+
179,2023-10-26,11:58:04,21
180,2023-10-26,12:23:30,21
181,2023-10-26,12:46:31,111121
182,2023-10-26,13:24:49,3121
183,2023-10-26,14:13:15,21
184,2023-10-26,14:13:21,61
185,2023-10-26,14:17:20,61
186,2023-10-26,15:04:41,111121
187,2023-10-26,15:21:36,11111121
188,2023-10-26,15:32:39,61
189,2023-10-26,15:33:11,3111
190,2023-10-26,15:46:50,21
191,2023-10-26,16:24:27,61
192,2023-10-26,16:28:35,11111121
193,2023-10-26,18:14:28,61
194,2023-10-26,19:56:47,21
195,2023-10-26,21:42:34,1121
196,2023-10-27,08:49:49,21
197,2023-10-27,08:58:46,61
198,2023-10-27,09:04:28,21
199,2023-10-27,09:28:10,111121
200,2023-10-27,11:09:13,3111
201,2023-10-27,11:43:14,61
202,2023-10-27,12:42:46,61
203,2023-10-27,13:21:15,21
204,2023-10-27,13:23:14,111121
205,2023-10-27,13:44:34,21
206,2023-10-27,13:45:04,21
207,2023-10-27,14:55:27,21
208,2023-10-27,14:57:53,61
209,2023-10-27,15:00:46,61
210,2023-10-27,19:23:45,3111
211,2023-10-27,20:02:41,3111
212,2023-10-27,20:32:04,3121
213,2023-10-28,05:31:27,11111121
214,2023-10-28,09:44:15,11111121
215,2023-10-28,10:11:26,111121
216,2023-10-28,15:37:00,111121
217,2023-10-28,16:14:23,11111121
218,2023-10-28,17:17:02,11111121
219,2023-10-28,18:51:13,4111
220,2023-10-29,12:22:56,21
221,2023-10-29,12:27:18,21
222,2023-10-29,15:57:18,111121
223,2023-10-29,22:18:39,3121
224,2023-10-30,08:29:19,21
225,2023-10-30,09:00:06,21
226,2023-10-30,09:23:01,21
227,2023-10-30,09:23:48,61
228,2023-10-30,09:31:18,61
229,2023-10-30,09:52:44,1121
230,2023-10-30,09:54:27,21
231,2023-10-30,10:04:01,11111121
232,2023-10-30,10:37:41,61
233,2023-10-30,10:41:15,11111121
234,2023-10-30,11:12:07,61
235,2023-10-30,11:38:33,11111121
236,2023-10-30,11:46:36,21
237,2023-10-30,12:06:08,61
238,2023-10-30,12:16:20,21
239,2023-10-30,12:27:24,21
240,2023-10-30,12:31:13,21
241,2023-10-30,13:30:54,61
242,2023-10-30,13:54:53,21
243,2023-10-30,15:08:30,61
244,2023-10-30,15:19:39,21
245,2023-10-30,15:36:58,21
246,2023-10-30,16:02:02,21
247,2023-10-30,16:55:39,21
248,2023-10-30,16:55:52,21
249,2023-10-30,16:56:09,21
250,2023-10-30,17:56:04,61
251,2023-10-30,21:03:37,61
252,2023-10-30,21:09:06,1121
253,2023-10-31,08:35:54,11111121
254,2023-10-31,09:32:01,21
255,2023-10-31,10:24:25,3121
256,2023-10-31,11:16:10,3121
257,2023-10-31,12:02:08,21
258,2023-10-31,12:20:52,21
259,2023-10-31,12:21:17,1121
260,2023-10-31,12:49:08,61
261,2023-10-31,12:50:01,61
262,2023-10-31,13:44:22,61
263,2023-10-31,16:00:28,21
264,2023-10-31,16:13:14,11111121
265,2023-10-31,16:33:23,3151
266,2023-10-31,17:11:43,11111121
267,2023-10-31,20:16:17,3111
268,2023-10-31,22:24:35,61
269,2023-11-01,10:00:48,11111121
270,2023-11-01,10:20:54,11111121
271,2023-11-01,10:55:52,61
272,2023-11-01,11:00:33,111121
273,2023-11-01,11:54:16,61
274,2023-11-01,12:06:35,21
275,2023-11-01,13:03:19,21
276,2023-11-01,13:32:22,21
277,2023-11-01,13:40:20,11111121
278,2023-11-01,13:40:52,61
279,2023-11-01,13:48:47,3111
280,2023-11-01,14:59:14,21
281,2023-11-01,16:22:31,11111121
282,2023-11-01,17:04:55,61
283,2023-11-01,17:05:13,21
284,2023-11-01,20:39:46,111121
285,2023-11-01,20:40:04,11111121
286,2023-11-02,00:34:15,61
287,2023-11-02,00:34:55,111121
288,2023-11-02,18:56:29,61
289,2023-11-03,04:05:04,3121
290,2023-11-03,06:47:39,21
291,2023-11-03,07:48:22,11111121
292,2023-11-03,07:48:47,61
293,2023-11-03,08:00:44,21
294,2023-11-03,08:24:00,21
295,2023-11-03,08:48:36,61
296,2023-11-03,09:03:46,61
297,2023-11-03,10:00:35,61
298,2023-11-03,10:20:21,61
299,2023-11-03,10:39:15,61
300,2023-11-03,10:45:09,3121
301,2023-11-03,10:53:22,11111121
302,2023-11-03,10:57:06,61
303,2023-11-03,12:12:12,61
304,2023-11-03,14:02:15,21
305,2023-11-03,14:26:56,61
306,2023-11-03,14:28:42,11111121
307,2023-11-03,14:50:27,21
308,2023-11-03,14:53:43,61
309,2023-11-03,14:58:59,21
310,2023-11-03,15:00:57,21
311,2023-11-03,16:26:53,111121
312,2023-11-03,16:28:53,21
313,2023-11-03,16:54:23,3111
314,2023-11-03,19:02:50,61
315,2023-11-03,20:14:53,61
316,2023-11-04,09:56:48,61
317,2023-11-04,09:57:02,21
318,2023-11-04,10:16:42,3111
319,2023-11-04,14:54:33,61
320,2023-11-04,14:56:33,3151
321,2023-11-04,17:41:59,3181
322,2023-11-04,18:28:07,111121
323,2023-11-04,18:28:50,3141
324,2023-11-04,20:29:15,11111121
325,2023-11-05,00:54:01,111121
326,2023-11-05,11:21:59,21
327,2023-11-05,11:24:13,61
328,2023-11-05,14:54:34,61
329,2023-11-05,15:37:23,111121
330,2023-11-05,16:40:14,61
331,2023-11-05,18:47:31,21
332,2023-11-06,08:22:24,11111121
333,2023-11-06,09:11:30,61
334,2023-11-06,09:16:29,61
335,2023-11-06,09:42:10,61
336,2023-11-06,09:56:18,21
337,2023-11-06,10:10:21,111121
338,2023-11-06,10:18:50,3181
339,2023-11-06,10:38:04,11111121
340,2023-11-06,10:47:45,61
341,2023-11-06,10:53:01,61
342,2023-11-06,11:03:04,111121
343,2023-11-06,11:24:16,21
344,2023-11-06,12:15:06,61
345,2023-11-06,12:16:37,21
346,2023-11-06,12:39:53,3121
347,2023-11-06,12:40:43,1121
348,2023-11-06,12:46:38,21
349,2023-11-06,14:57:38,21
350,2023-11-06,14:58:25,61
351,2023-11-06,15:35:59,61
352,2023-11-06,15:39:28,61
353,2023-11-06,15:40:28,21
354,2023-11-06,15:40:44,3121
355,2023-11-06,16:07:49,21
356,2023-11-06,16:20:40,11111121
357,2023-11-06,17:31:52,111121
