idlogs,data,hora,dados_recebidos
+--------+---------------------+-----------------+
idlogs,data_hora,dados_recebidos
+--------+---------------------+-----------------+
764,2023-11-27,19:25:04,21
765,2023-11-27,19:32:08,21
766,2023-11-27,19:43:05,21
767,2023-11-27,20:54:06,21
768,2023-11-27,21:10:27,11111121
769,2023-11-27,21:25:38,1121
770,2023-11-27,21:27:25,11111121
771,2023-11-27,22:07:03,61
772,2023-11-28,10:59:00,21
773,2023-11-28,10:59:58,61
774,2023-11-28,11:00:40,111121
775,2023-11-28,11:30:19,61
776,2023-11-28,11:41:56,21
777,2023-11-28,12:11:14,61
778,2023-11-28,12:51:52,11111121
779,2023-11-28,13:07:52,111121
780,2023-11-28,13:08:23,21
781,2023-11-28,13:28:55,11111121
782,2023-11-28,14:12:19,111121
783,2023-11-28,16:40:21,61
784,2023-11-28,16:44:01,111121
785,2023-11-28,17:01:33,21
786,2023-11-28,17:02:14,3111
787,2023-11-28,21:49:17,61
788,2023-11-29,08:25:21,61
789,2023-11-29,10:23:30,61
790,2023-11-29,10:30:42,11111121
791,2023-11-29,10:31:48,11111121
792,2023-11-29,12:00:11,21
793,2023-11-29,12:44:50,61
794,2023-11-29,12:48:36,1121
795,2023-11-29,13:26:50,61
796,2023-11-29,13:37:29,111121
797,2023-11-29,13:38:39,61
+--------+---------------------+-----------------+
